x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
10016689;6940281;47;0.0005539668707203491;0.0009335885177956356;-1.7570870896244566e-06;6.527778684221721e-05;0.00037495334340929864;0;0;1404;Красная Сопка;Krasnaja Sopka;3940.3376631724523
10016715;6940275;47;0.04084220985185303;0.06762694005458485;-0.00010252586287592627;0.004791373952388733;0.02724255273866499;0;0;1404;Красная Сопка;Krasnaja Sopka;3918.0843686443704
10016762;6940238;47;0.03644565546754905;0.06762416297792695;-0.0004267239333256243;0.004842829439013348;0.027236058560250517;0;0;1404;Красная Сопка;Krasnaja Sopka;3887.4475438024197
10020382;6941654;47;0.009552209580580033;0.016263267088293242;-3.813422634553817e-05;0.001138563671398252;0.006531107162765735;0;0;1404;Красная Сопка;Krasnaja Sopka;0.5353597102212565
10023215;6939243;20;0.03281903393339748;0.03813629510960313;1.324018274540087e-05;0.001614834403861712;0.010672944940830303;0;2;1405;Красная Сопка-тяговая;Krasnaja Sopka-tjagovaja;0.2673003567496919
10023775;6736216;39;0.05435414214191906;0.07835709091338693;0.00011734464298392799;0.004268472633155192;0.019210250640570033;0;0;1398;Туим;Tuim;12275.788357215011
10023801;6736222;39;0.0005792897284563802;0.0008411275911516907;1.165268615024573e-06;4.536073710250181e-05;0.00020775746385063502;0;0;1398;Туим;Tuim;12302.238960999564
10023839;6736179;39;0.054364326654261545;0.07837577202227285;0.00011702385180826126;0.004269031672836189;0.01921612172248733;0;0;1398;Туим;Tuim;12322.834814373507
10023864;6736186;39;0.0005810071181094253;0.0008436117778757059;1.1691554941061475e-06;4.549529589445654e-05;0.00020838528795868246;0;0;1398;Туим;Tuim;12348.710401622338
10026448;6472516;54;0.18846002706318105;0.5186898957364258;-0.006765517138718549;0.020080157889963337;0.2469375908375308;0;4;1380;Абаза;Abaza;0.4346850466699813
10054451;6676044;59;0.07613394940669654;0.2340652724485928;0.000226039553077121;0.012130261259026798;0.1283837133167499;0;0;1397;Сора;Sora;0.4305344826267215
10055214;6675798;10;0.18879318098878883;0.4738711441474255;-0.030466595095992477;0.040479638963141995;0.19766949381038845;0;4;1397;Сора;Sora;801.3699138096604
10057534;6994098;59;0.15193913564794498;0.350188669707243;-0.0018319436461127299;0.025377191289437377;0.3501886697072392;0;4;1863;ОРУ Назаровская ГРЭС 220/110 кВ;ORU Nazarovskaja GRES 220/110 kV;0.2749917271621737
10070271;6545387;58;0.15910255793943767;0.4555241398652255;-0.005936104207801191;0.01559256279574966;0.15053208231359827;0;4;1402;Аскиз;Askiz;0.5009234780775083
10077810;7050022;39;0.03741729902246437;0.058662433431289344;0.00032130502104787343;0.004224281249610853;0.03949198624661873;0;0;1416;Ачинский НПЗ;Achinskij NPZ;0.4107657866482197
10084562;6257254;51;0.18112837268628618;0.4975155690154931;-0.0072872987025687196;0.01630257575777979;0.20916761772410145;0;4;1381;Ак-Довурак;Ak-Dovurak;0.5103514464950809
10096350;6566784;57;0.09213604521970784;0.32410929345508005;-0.002947091319890617;0.013146638159486348;0.09924635242864374;0;0;1394;Камышта;Kamyshta;0.38758128143033327
10119577;7106322;49;0.06692031321412964;0.151140345558347;-0.0015488928026563462;0.010935332160616526;0.08839667878228677;0;0;1438;Троицкая;Troitskaja;0.4611772126316102
10125451;6532997;27;0.030119983126717705;0.03321230306177095;6.649280323605251e-05;0.0014884253516154666;0.006547240175786718;0;2;1393;Бея;Beja;0.3816870441174818
10132030;6523192;27;0.0005575211342348922;0.0006141467954344845;1.2483844725366729e-06;2.742528848369158e-05;0.00012004734233177954;0;2;1393;Бея;Beja;11807.91195192733
10132030;6523213;27;0.02687475610763897;0.029632296411064605;5.937463084435624e-05;0.001327729349084682;0.005838834271531892;0;2;1393;Бея;Beja;11790.479229109746
10150276;6621909;43;0.13771907368920025;0.3660151609105512;-0.0021539756183003396;0.019092839221083815;0.17202268340928972;0;4;1399;Абаканская;Abakanskaja;0.5717066446631756
10158881;6626699;58;0.12145575241433361;0.5707403458012408;-0.004619854050720168;0.016488412245847225;0.14745480138924216;0;4;1392;Абакан-районная;Abakan-rajonnaja;0.6217615071468979
10163970;6536256;43;0.09561014704950668;0.18457435067927733;-0.0006339767503323667;0.011992051639899757;0.07962990155603697;0;0;1400;Означенное;Oznachennoe;0.4878297430982635
10165912;6635456;41;0.015107855302657092;0.02606091372250026;-8.461684033121781e-05;0.001453638102551003;0.00896687716505738;0;0;149;Абаканская ТЭЦ;Abakanskaja TETs;0.23861810454199336
10168950;6553233;16;0.06737879382340747;0.07956570867240936;0.001874261956520025;0.0035350035208229795;0.015617387888347586;0;2;1401;Алюминиевая;Aljuminievaja;0.18015782085398205
10172358;6501862;43;0.13117592067854256;0.18429754257810466;0.0012475902812849832;0.0118231579134319;0.08922477659146308;0;0;1847;ОРУ Саяно-Шушенская ГЭС 500 кВ;ORU Sajano-Shushenskaja GES 500 kV;0.43132865552311245
10175278;6540078;52;0.05233906950280731;0.2059427178015836;-0.00362104371175416;0.008054380183278658;0.08682466298010409;0;0;1395;Означенное-районная;Oznachennoe-rajonnaja;0.14214869037940084
10175281;6539959;9;0.0013802205812442224;0.0014616414961954617;2.797499437839627e-05;5.0415615390629566e-05;0.00020934742941317334;0;2;1395;Означенное-районная;Oznachennoe-rajonnaja;119.17343330793011
10175302;6539924;27;0.017631489133089515;0.03413940710754252;-0.00014803056019752073;0.002255575696519119;0.021381182498425192;0;2;1395;Означенное-районная;Oznachennoe-rajonnaja;155.9988916833938
10175311;6539927;27;0.017266025678049475;0.03249697174796733;-7.400498233435818e-05;0.0021413830081676594;0.017053325054394636;0;2;1395;Означенное-районная;Oznachennoe-rajonnaja;154.70512340076226
10175334;6539870;9;0.010606213904527739;0.01123499545601473;0.00021694854094911258;0.0003853708523037661;0.001613072506177999;0;2;1395;Означенное-районная;Oznachennoe-rajonnaja;215.54842659254217
10175343;6539871;9;0.011936596398713074;0.012415772190937077;0.000120564287025109;0.0004970295275455797;0.0013909322534811797;0;2;1395;Означенное-районная;Oznachennoe-rajonnaja;217.10753834567998
