x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
6450307;8578526;41;0.0013729217716644873;0.0020078857821460875;3.601470729062464e-05;6.231839097513544e-05;0.001984979464764593;0.009938750521370584;0.0007241021368887249
6453375;6830103;46;0.19871800915415694;0.31166165126371365;0.0036826550025811974;0.023930747180510466;0.2892023781758952;1.5021271523315196;0.09779070511432172
6453899;9175558;9;1.3320604981758874e-06;1.4369777483995661e-06;-2.295479118694382e-08;2.3702476054518894e-08;3.793942597136644e-08;4.000217279741218e-06;5.988113033788574e-08
6477769;9209054;15;1.3280077439785434e-07;4.160550657200582e-07;-2.8824360791855596e-08;5.943643796000831e-08;4.160550657200582e-07;8.914595289252002e-07;1.8799989476973873e-07
6485727;6163756;61;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6489232;7365729;35;0.01025449316543;0.012427392070263308;-8.053814392878593e-05;0.00017104037653889112;0.0013195699194877182;0.060920688654247435;0.00093988226182071
6489615;6671762;47;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6492467;6267287;54;0.004444792682353662;0.00767075308264028;0.0001243118448161416;0.00026086709885492877;0.0028848249489806027;0.03860761131156713;0.002801169807794577
6495552;6261426;37;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6506966;6270040;4;0.004637971657545999;0.005106747457911581;0.0002393914900142669;0.0005540947378475555;0.0012655977547817309;0.009325690919490004;0.0004809851195875058
6507290;6270430;4;0.005791859683656131;0.006377646983928561;0.00029983147955402824;0.0006925703082999295;0.0015828143077382733;0.011646057213019732;0.0006016839345295282
6507401;6270343;61;0.0031682435902650108;0.009179174858437672;3.365396990404356e-05;0.000487313042534969;0.00668229208631253;0.031618565175701906;0.0025201803522748862
6510479;6267706;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6512366;7118189;41;0.0006868679297158276;0.0011246961787875086;7.237921673606763e-06;3.917880655133081e-05;0.0005711200650760852;0.0045644923380468065;0.00019071755622383207
6531561;7115434;49;0.001972777942148144;0.0030897697506476213;-2.1612496334970518e-05;5.775782461236583e-05;0.0002611297682183198;0.01401627901211557;0.00034271692678028263
6531601;7115375;49;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6546014;6339643;52;0.012464672296658515;0.017798380702698638;0.0001730257018514818;0.0007931563844493363;0.005451985768725912;0.09357479379559153;0.0036084919868783383
6547265;6334683;28;0.0008630766364373274;0.0009612000177264232;-7.509615717159875e-06;7.205217405957893e-06;1.923895409031574e-05;0.004578429853362325;6.117424527183078e-05
6547357;6334642;28;0.0;0.0;0.0;0.0;0.0;0.0;0.0
