x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation;BC_EvolutionType
3813608;8483979;50;3.8503147032708573e-07;1.0403759502533836e-06;3.8276241914564855e-09;3.610025337787578e-08;1.0403759502533836e-06;3.2660469289927206e-06;2.551313734243952e-07;4
3814069;8483897;44;0.001075927714729;0.0025591610674167;-2.550453999720743e-05;6.888461494467682e-05;0.0013335981980182;0.0077323521819747;0.0004485828844037;4
3814364;8483181;39;0.0016615223628668;0.0023032464361424;8.667148285240464e-06;6.457033611957952e-05;0.000993074379057;0.0105369461713048;0.0002935908843262;4
3814432;8005572;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3814443;8005576;17;0.0080599402625657;0.0131845741471568;-0.0002077303794975;0.001811594221769;0.0104974503695249;0.0358668383942804;0.0032725710955944;0
3814685;8004772;58;0.0028390597189533;0.0143378534761579;-0.0001954037963077;0.0008296200545351;0.0126841361814984;0.0423859247958531;0.0047869642235689;4
3816278;8005444;39;0.0040204539005244;0.0069457835637086;0.0001607272048485;0.0001786062632658;0.0026443949295351;0.0284751203118122;0.0021509362522514;4
3818159;8274412;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3818338;7939065;51;0.0061899427337901;0.015506958250497;-5.371270149033118e-05;0.0006555220008807;0.0106984425296667;0.0507582446148718;0.0034931710773447;4
3819122;5437937;54;0.0002014886518666;0.0015845323975391;1.5888230969303526e-05;3.370789698843644e-05;0.001572161595107;0.0038423692444119;0.0004824997958457;4
3820925;7932228;58;0.0045117601852529;0.0226886817021719;-0.0002725267862865;0.0011366351274247;0.0225503117007882;0.0624807177400145;0.0068521243258893;4
3820973;8192319;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3822470;6869413;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3824626;6570312;32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3824693;8010037;16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3825586;5472281;59;0.0012400642177967;0.0124270822344699;0.0001027288695399;0.000231171917127;0.0086474578644786;0.0278677779415311;0.0034095709029868;4
3825704;8009411;39;0.0141754252924737;0.015557129027738;-1.118495250804636e-05;0.0003151318302651;0.0028279871122147;0.0886522850419484;0.0007589303620159;4
3827865;8196125;18;0.0030761103843886;0.0035202580091027;3.774616634070989e-05;0.0001269757627875;0.0008591205258745;0.0132098072172838;0.0004815954372257;0
3827953;8196127;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3829671;6592822;62;0.0014758406673736;0.0062595852793258;-5.8546323747606e-06;0.0004133624507883;0.003779344079188;0.0162365955025759;0.0014401191798513;4
3835574;6649516;46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3835956;8132126;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3836504;8131492;56;0.0029683641241251;0.0108068009851339;4.446364467648095e-06;0.000566457777904;0.0102900628456767;0.0309700246674212;0.0028838095953054;4
3844510;8489371;54;0.0098980071487871;0.0136854785388872;0.0001860726872797;0.0004926208953052;0.0051172610755652;0.0788556526553832;0.0041450651108782;4
3850415;8493530;30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
